จังหวัด, PM2.5, วันที่
ตาก,26.502397327713783,2024-01-02
เลย,21.597809861080226,2024-01-02
ตรัง,22.76148899550347,2024-01-02
ตราด,17.17062653682994,2024-01-02
น่าน,23.106410845619642,2024-01-02
ยะลา,17.14967763434964,2024-01-02
สตูล,21.531288607409873,2024-01-02
แพร่,20.43537506009133,2024-01-02
ชุมพร,16.47614224132056,2024-01-02
พะเยา,20.531358396025404,2024-01-02
พังงา,17.656950516986694,2024-01-02
ยโสธร,18.635863180822817,2024-01-02
ระนอง,17.512078617534563,2024-01-02
ระยอง,33.99553863942854,2024-01-02
ลำปาง,18.23554828960131,2024-01-02
ลำพูน,17.774838606352354,2024-01-02
สงขลา,22.15377112005776,2024-01-02
กระบี่,16.37753087599288,2024-01-02
ชลบุรี,31.646457343868576,2024-01-02
ชัยนาท,35.708956963142555,2024-01-02
นครปฐม,48.54686525057588,2024-01-02
นครพนม,17.95707389585462,2024-01-02
บึงกาฬ,15.531361226002328,2024-01-02
พัทลุง,18.332089571010727,2024-01-02
พิจิตร,30.963752999819366,2024-01-02
ภูเก็ต,16.77677894009899,2024-01-02
ลพบุรี,35.286184765998556,2024-01-02
สกลนคร,17.10063515206395,2024-01-02
ขอนแก่น,24.406081077415294,2024-01-02
ชัยภูมิ,24.972540220913007,2024-01-02
นครนายก,25.28046911600318,2024-01-02
นนทบุรี,44.52614714358969,2024-01-02
ปัตตานี,16.601666197162206,2024-01-02
ราชบุรี,44.75018538776027,2024-01-02
สระบุรี,32.79354255196475,2024-01-02
สระแก้ว,29.572363064791247,2024-01-02
สุโขทัย,27.890525043986255,2024-01-02
หนองคาย,27.28129483784237,2024-01-02
อ่างทอง,46.41965987011642,2024-01-02
จันทบุรี,24.985958244392695,2024-01-02
นราธิวาส,16.87948109174313,2024-01-02
ปทุมธานี,41.7793057596025,2024-01-02
พิษณุโลก,28.561024125547288,2024-01-02
มุกดาหาร,17.62924475679299,2024-01-02
ร้อยเอ็ด,19.594290638134588,2024-01-02
ศรีสะเกษ,16.000323825617816,2024-01-02
สุรินทร์,18.737501408847614,2024-01-02
อุดรธานี,21.701434962822837,2024-01-02
เชียงราย,20.224114655171295,2024-01-02
เพชรบุรี,38.83487048415007,2024-01-02
กาญจนบุรี,37.2767019314999,2024-01-02
กาฬสินธุ์,23.576571457502155,2024-01-02
กำแพงเพชร,26.821768438141987,2024-01-02
นครสวรรค์,32.99153552968834,2024-01-02
บุรีรัมย์,21.818708929146297,2024-01-02
มหาสารคาม,23.486219389343194,2024-01-02
สมุทรสาคร,50.51047844065125,2024-01-02
สิงห์บุรี,39.25273755603171,2024-01-02
อุตรดิตถ์,23.85202138319652,2024-01-02
อุทัยธานี,34.565305474461816,2024-01-02
เชียงใหม่,13.038057368996117,2024-01-02
เพชรบูรณ์,26.91874399982783,2024-01-02
ฉะเชิงเทรา,31.802034984144527,2024-01-02
นครราชสีมา,29.006072410860604,2024-01-02
ปราจีนบุรี,29.862758159404937,2024-01-02
สุพรรณบุรี,41.12998146023316,2024-01-02
อำนาจเจริญ,18.554461101843234,2024-01-02
แม่ฮ่องสอน,12.554207379667668,2024-01-02
สมุทรปราการ,37.89717468297073,2024-01-02
สมุทรสงคราม,44.764068434202656,2024-01-02
หนองบัวลำภู,19.235659385718332,2024-01-02
อุบลราชธานี,20.212846261271196,2024-01-02
สุราษฎร์ธานี,18.396013512160515,2024-01-02
กรุงเทพมหานคร,40.07632527082789,2024-01-02
นครศรีธรรมราช,22.292404913195234,2024-01-02
ประจวบคีรีขันธ์,33.31514916975586,2024-01-02
พระนครศรีอยุธยา,41.873812156196145,2024-01-02
